Rank,   Word,Percentage
287,   ever,0.041169273
288,   fall,0.041155931
289,   stop,0.041115906
290,   yet,0.041081339
291,   bad,0.040907291
292,   member,0.040853015
293,   president,0.040692915
294,   lose,0.04066229
295,   law,0.040542215
296,   car,0.040501281
297,   include,0.040498855
298,   community,0.040345426
299,   social,0.040297518
300,   city,0.040232326
301,   past,0.040129837
302,   experience,0.040059794
303,   control,0.040046755
304,   care,0.039976409
305,   kid,0.039879985
306,   team,0.039869979
307,   sure,0.039733833
308,   walk,0.039242315
309,   meet,0.03903552
310,   almost,0.038783848
311,   information,0.038609194
312,   level,0.038530357
313,   nothing,0.038423017
314,   minute,0.038405734
315,   continue,0.038214402
316,   five,0.038075528
317,   ago,0.037978801
318,   body,0.037952421
319,   door,0.037900267
320,   learn,0.037704085
321,   real,0.037655873
322,   several,0.037610996
323,   least,0.037587345
324,   human,0.037370543
325,   form,0.037338099
326,   offer,0.037321725
327,   research,0.037120084
328,   idea,0.037035183
329,   whether,0.036968778
330,   understand,0.036796853
331,   cut,0.036792305
332,   win,0.036708313
333,   anything,0.036474834
334,   within,0.036290477
335,   break,0.036282593
336,   parent,0.036268039
337,   follow,0.036211943
338,   create,0.036210124
339,   process,0.03616828
340,   together,0.036139474
341,   top,0.036018186
342,   art,0.035734676
343,   add,0.035731947
344,   war,0.035720425
345,   health,0.03570769
346,   along,0.035598228
347,   speak,0.035585189
348,   base,0.035489069
349,   teacher,0.03520374
350,   others,0.035103981
351,   across,0.034986635
352,   already,0.034936907
353,   history,0.03484109
354,   allow,0.034837451
355,   office,0.034806826
356,   spend,0.034739511
357,   hope,0.03468948
358,   read,0.034595482
359,   low,0.034571225
360,   morning,0.034567586
361,   education,0.034485414
362,   person,0.034460853
363,   party,0.034252238
364,   return,0.034224342
365,   behind,0.03408001
366,   market,0.033986315
367,   figure,0.033655806
368,   girl,0.03347812
369,   guy,0.03347812
370,   age,0.033477513
371,   grow,0.033360167
372,   moment,0.033269202
373,   himself,0.033138211
374,   view,0.032928383
375,   test,0.032903519
376,   cost,0.032885023
377,   maybe,0.03287532
378,   although,0.032724923
379,   food,0.032665189
380,   policy,0.03262668
381,   boy,0.032579985
382,   foot,0.032530863
383,   remember,0.032407756
384,   reason,0.032402905
385,   drive,0.03239866
386,   deal,0.032273733
387,   late,0.032186103
388,   toward,0.032136375
389,   air,0.032120608
390,   sense,0.032017816
391,   step,0.0320163
392,   actually,0.031885006
393,   including,0.031428662
394,   oh,0.031417443
395,   everything,0.031410772
396,   yeah,0.031349521
397,   cause,0.031344973
398,   able,0.03128342
399,   stay,0.031144242
400,   music,0.031127565
401,   wait,0.031068741
402,   sound,0.030970498
403,   consider,0.030924408
404,   pass,0.030862552
405,   matter,0.030859216
406,   note,0.030851029
407,   buy,0.030656969
408,   appear,0.030525372
409,   reach,0.030430161
410,   mind,0.030378311
411,   rather,0.030353143
412,   probably,0.03024732
413,   serve,0.030218817
414,   record,0.030154535
415,   whole,0.030113904
416,   official,0.029913779
417,   die,0.029829484
418,   answer,0.029603283
419,   rate,0.029554161
420,   nation,0.029476537
421,   individual,0.029431357
422,   college,0.029423777
423,   build,0.029306431
424,   interest,0.029297031
425,   send,0.029294909
426,   someone,0.028990173
427,   present,0.028978954
428,   expect,0.028977438
429,   effect,0.028871312
430,   design,0.028669671
431,   military,0.028636014
432,   front,0.028457721
433,   death,0.028266693
434,   major,0.028249409
435,   free,0.028195739
436,   local,0.028190281
437,   half,0.028186946
438,   kill,0.028096284
439,   suggest,0.028091129
440,   development,0.027894643
441,   increase,0.027801858
442,   cover,0.027801555
443,   class,0.02769088
444,   remain,0.027689667
445,   six,0.027462859
446,   economic,0.027408583
447,   arm,0.027319133
448,   value,0.027272134
449,   hit,0.027218464
450,   future,0.027142356
451,   sign,0.027126892
452,   voice,0.027101422
453,   require,0.027071403
454,   former,0.026965276
455,   model,0.026955573
456,   role,0.026885226
457,   thank,0.02685733
458,   else,0.026645683
459,   sell,0.026642348
460,   clear,0.026584736
461,   field,0.026453746
462,   pull,0.026453746
463,   land,0.026425849
464,   perhaps,0.026398256
465,   raise,0.026390979
466,   either,0.026305471
467,   effort,0.026220267
468,   drug,0.026146888
469,   police,0.026040458
470,   leader,0.025906435
471,   themselves,0.025851249
472,   possible,0.025799095
473,   outside,0.025767864
474,   sometimes,0.025726626
475,   develop,0.025723594
476,   fire,0.025705704
477,   share,0.025701459
478,   practice,0.025653247
479,   relationship,0.025636873
480,   heart,0.025632931
481,   price,0.025604732
482,   order,0.0256017
483,   decide,0.025481019
484,   focus,0.02546798
485,   according,0.025401575
486,   season,0.025392479
487,   strong,0.025372466
488,   wife,0.025349422
489,   position,0.025292113
490,   project,0.025263307
491,   difference,0.0251402
492,   decision,0.024994049
493,   easy,0.02498283
494,   finally,0.02484911
495,   federal,0.024811208
496,   international,0.024745712
497,   approach,0.02469083
498,   player,0.024669301
499,   society,0.024618967
500,   road,0.024556807
501,   son,0.024528911
502,   explain,0.024499195
503,   patient,0.02447615
504,   tax,0.024473725
505,   join,0.02444219
506,   receive,0.024333334
507,   fight,0.024286942
508,   star,0.024264504
509,   action,0.024260258
510,   town,0.024203253
511,   director,0.024200828
512,   act,0.024182331
513,   carry,0.024109862
514,   true,0.024044973
515,   inside,0.023810584
516,   building,0.023798759
517,   activity,0.023645027
518,   wear,0.023627137
519,   full,0.023513733
520,   pick,0.023407606
521,   plant,0.023348479
522,   Republican,0.023319976
523,   agree,0.023272977
524,   soon,0.023261455
525,   data,0.023224765
526,   rule,0.023157451
527,   picture,0.023145322
528,   especially,0.023136832
529,   site,0.023024034
530,   rest,0.022932159
531,   event,0.022910933
532,   space,0.022861205
533,   paper,0.022857567
534,   instead,0.022831793
535,   special,0.022831793
536,   table,0.022810568
537,   whose,0.022715357
538,   couple,0.022702319
539,   attack,0.022701712
540,   ground,0.02265441
541,   vote,0.02264683
542,   charge,0.022643797
543,   catch,0.022617417
544,   center,0.022607714
545,   likely,0.022605895
546,   everyone,0.022600134
547,   oil,0.022555257
548,   general,0.022516142
549,   produce,0.022489459
550,   court,0.022472175
551,   bit,0.022438821
552,   eat,0.022288121
553,   industry,0.022151673
554,   claim,0.022094971
555,   teach,0.022034327
556,   situation,0.022014618
557,   measure,0.021998547
558,   image,0.021897272
559,   street,0.021724134
560,   phone,0.021710186
561,   rise,0.021709579
562,   wall,0.021646813
563,   describe,0.021642871
564,   itself,0.021556757
565,   product,0.021493081
566,   standard,0.021465791
567,   recent,0.021433043
568,   middle,0.021407573
569,   smile,0.021277189
570,   news,0.021240802
571,   quite,0.021215029
572,   worker,0.021213816
573,   risk,0.021139527
574,   technology,0.021093438
575,   hair,0.021093135
576,   subject,0.021068877
577,   doctor,0.021057355
578,   movie,0.021039465
579,   drop,0.020984279
580,   race,0.020943648
581,   piece,0.0208921
582,   type,0.020764748
583,   window,0.020710775
584,   north,0.020632848
585,   above,0.020617687
586,   short,0.020602526
587,   visit,0.02060101
588,   personal,0.020593733
589,   baby,0.020582817
590,   list,0.020523083
591,   computer,0.020436665
592,   organization,0.020399976
593,   near,0.020395124
594,   certain,0.020384815
595,   culture,0.020354493
596,   third,0.0203269
597,   source,0.020273837
598,   film,0.020231992
599,   simply,0.020228354
600,   tree,0.02020349
601,   store,0.020192271
602,   red,0.02007826
603,   wrong,0.020020346
604,   century,0.01991149
605,   ok,0.019839627
606,   evidence,0.019818402
607,   attention,0.019791415
608,   billion,0.019782925
609,   draw,0.01976928
610,   listen,0.019704391
611,   nearly,0.019666792
612,   period,0.019567943
613,   check,0.01956491
614,   dark,0.019536408
615,   average,0.019524582
616,   choose,0.019511544
617,   pretty,0.019507905
618,   trade,0.019503054
619,   response,0.0194697
620,   campaign,0.019458177
621,   energy,0.019448171
622,   fund,0.019429371
623,   benefit,0.019411482
624,   difficult,0.019389953
625,   concern,0.019377218
626,   condition,0.019251079
627,   brother,0.019225911
628,   available,0.019159506
629,   wonder,0.019145255
630,   population,0.019102501
631,   term,0.019091282
632,   lie,0.019059141
633,   Congress,0.019054593
634,   chance,0.019006381
635,   behavior,0.018989097
636,   summer,0.018952105
637,   floor,0.01893846
638,   color,0.018933911
639,   material,0.018933002
640,   opportunity,0.018927544
641,   administration,0.018821114
642,   realize,0.018718323
643,   deep,0.018659801
644,   key,0.01864555
645,   green,0.018632512
646,   range,0.018615531
647,   hundred,0.018577023
648,   current,0.018572777
649,   economy,0.018493334
650,   challenge,0.018463012
651,   south,0.018384175
652,   choice,0.018340815
653,   daughter,0.018321712
654,   letter,0.018305035
655,   bed,0.018285326
656,   fear,0.018250759
657,   husband,0.018231353
658,   single,0.018214979
659,   performance,0.018165554
660,   certainly,0.018114007
661,   myself,0.018107033
662,   defense,0.018102485
663,   score,0.018097633
664,   involve,0.018054273
665,   church,0.018031228
666,   per,0.018020919
667,   medical,0.018018493
668,   address,0.017992416
669,   sport,0.017891747
670,   bank,0.017887502
671,   significant,0.017873857
672,   security,0.017863851
673,   represent,0.017812304
674,   goal,0.017807452
675,   hospital,0.017789562
676,   complete,0.017741957
677,   seek,0.017736802
678,   board,0.017718912
679,   thousand,0.017679797
680,   author,0.017677675
681,   anyone,0.017669791
682,   west,0.017637953
683,   press,0.017624914
684,   alone,0.017613392
685,   nature,0.01756518
686,   throw,0.017521214
687,   officer,0.017470576
688,   factor,0.01746906
689,   foreign,0.017447228
690,   interview,0.017368694
691,   private,0.017358688
692,   thus,0.017295315
693,   upon,0.017293496
694,   reduce,0.017292283
695,   agency,0.017269542
696,   fill,0.017257716
697,   laugh,0.017201924
698,   coach,0.017170086
699,   quickly,0.017117932
700,   blood,0.017086701
701,   movement,0.017041218
702,   account,0.017037579
703,   push,0.017011502
704,   recently,0.016977845
705,   common,0.016962077
706,   page,0.016961168
707,   similar,0.016950252
708,   language,0.016919324
709,   judge,0.016914775
710,   beyond,0.016912956
711,   demand,0.016897189
712,   particular,0.016843822
713,   natural,0.016836545
714,   blue,0.016765895
715,   fine,0.016729812
716,   dead,0.016710709
717,   feature,0.016683722
718,   article,0.016637936
719,   PM,0.016605795
720,   attempt,0.016586692
721,   hot,0.016556067
722,   series,0.0165403
723,   enter,0.016519074
724,   travel,0.016489056
725,   artist,0.016480869
726,   stock,0.016466314
727,   analysis,0.016325317
728,   poor,0.016319253
729,   firm,0.016294995
730,   decade,0.016291054
731,   cup,0.016262551
732,   identify,0.016217371
733,   usually,0.016215249
734,   resource,0.016191294
735,   treatment,0.016188869
736,   total,0.016178863
737,   indicate,0.016135805
738,   cold,0.01612398
739,   animal,0.016109122
740,   shoot,0.016082136
741,   east,0.016073645
742,   herself,0.01604484
743,   sort,0.016038775
744,   occur,0.016000266
745,   exactly,0.015975099
746,   sleep,0.015974493
747,   final,0.015935074
748,   central,0.015919307
749,   dream,0.015919004
750,   dog,0.015872611
751,   quality,0.015835315
752,   determine,0.015806813
753,   career,0.015798019
754,   save,0.01578771
755,   seven,0.01577073
756,   size,0.015727369
757,   ahead,0.015715847
758,   media,0.015706144
759,   rock,0.015675822
760,   happy,0.015667029
761,   despite,0.015623668
762,   thought,0.015618514
763,   ability,0.015608507
764,   physical,0.015600927
765,   beat,0.015581218
766,   election,0.015561812
767,   scene,0.015539373
768,   disease,0.015528154
769,   environmental,0.015522393
770,   everybody,0.015508748
771,   fly,0.015482975
772,   argue,0.015468117
773,   region,0.015438098
774,   growth,0.015435066
775,   eight,0.01542506
776,   ready,0.015413537
777,   spring,0.015395648
778,   pressure,0.015395344
779,   finish,0.015381699
780,   protect,0.015357745
781,   seat,0.015352287
782,   limit,0.015347436
783,   degree,0.015346526
784,   simple,0.015337733
785,   success,0.015324997
786,   left,0.015306198
787,   skill,0.015291643
788,   lack,0.015273753
789,   knowledge,0.015262534
790,   particularly,0.015260715
791,   drink,0.015253438
792,   serious,0.015247373
793,   whatever,0.0152216
794,   staff,0.015214626
795,   recognize,0.015173691
796,   training,0.015160046
797,   accept,0.015146401
798,   amount,0.015143976
799,   meeting,0.015135486
800,   release,0.015112744
801,   influence,0.015110925
802,   section,0.015089396
803,   loss,0.01508788
804,   professional,0.015076358
805,   glass,0.015065745
806,   touch,0.015062713
807,   television,0.015061803
808,   box,0.015059984
809,   character,0.015018443
810,   TV,0.014990547
811,   lay,0.014966289
812,   direct,0.014950522
813,   prepare,0.014920806
814,   strategy,0.014895942
815,   bill,0.014861072
816,   potential,0.014800732
817,   wind,0.01471583
818,   fast,0.0146188
819,   sister,0.014610007
820,   ride,0.014593936
821,   compare,0.01458302
822,   guess,0.014568466
823,   dress,0.014563917
824,   search,0.014563614
825,   crime,0.01455755
826,   forward,0.014517222
827,   stuff,0.01451419
828,   lawyer,0.014509944
829,   sex,0.014502061
830,   environment,0.014495996
831,   financial,0.014494784
832,   tonight,0.014417766
833,   message,0.014412914
834,   fail,0.014403818
835,   leg,0.014395934
836,   arrive,0.014383199
837,   feeling,0.014357122
838,   executive,0.014353787
839,   authority,0.014344993
840,   gun,0.01434378
841,   democratic,0.014341961
842,   operation,0.014334987
843,   male,0.014333471
844,   example,0.01429193
845,   worry,0.014257666
846,   heat,0.01425524
847,   strike,0.014228254
848,   chief,0.014223706
849,   Democrat,0.014222493
850,   female,0.014216125
851,   discuss,0.014206422
852,   ten,0.014198842
853,   various,0.014183681
854,   notice,0.014151843
855,   fish,0.014151539
856,   hang,0.014139714
857,   professor,0.01412243
858,   miss,0.014107269
859,   gain,0.014096354
860,   religious,0.014076948
861,   stage,0.014052993
862,   station,0.014038742
863,   manager,0.014004781
864,   indeed,0.014003872
865,   establish,0.013924125
866,   clearly,0.013921396
867,   train,0.013874094
868,   science,0.013864997
869,   cultural,0.013848927
870,   forget,0.013817998
871,   track,0.013814966
872,   living,0.01381436
873,   theory,0.013812541
874,   song,0.013751593
875,   wish,0.013742194
876,   shake,0.013693375
877,   truth,0.013691859
878,   network,0.013681853
879,   below,0.01368064
880,   management,0.013678821
881,   review,0.013662144
882,   mention,0.013630306
883,   trouble,0.013595132
884,   cell,0.013593616
885,   legal,0.013590281
886,   nice,0.013581791
887,   date,0.013553288
888,   remove,0.01354874
889,   roll,0.013537218
890,   trial,0.013489915
891,   prove,0.01343382
892,   shape,0.013418962
893,   debate,0.013396221
894,   stick,0.013358015
895,   enjoy,0.013347706
896,   entire,0.013340732
897,   expert,0.013310713
898,   impact,0.013275539
899,   main,0.013252798
900,   traditional,0.013244914
901,   structure,0.013231876
902,   card,0.01322187
903,   onto,0.013201554
904,   memory,0.013199431
905,   ball,0.01319367
906,   maintain,0.013187909
907,   imagine,0.01318609
908,   yourself,0.013160013
909,   suddenly,0.013154252
910,   senior,0.0131494
911,   chair,0.013116046
912,   candidate,0.01311453
913,   weapon,0.013086331
914,   radio,0.013085724
915,   clean,0.013066015
916,   promise,0.013057222
917,   statement,0.013020532
918,   avoid,0.013005068
919,   shoulder,0.012990817
920,   employee,0.012985056
921,   spot,0.012964133
922,   conduct,0.012956553
923,   method,0.01293745
924,   reveal,0.012918651
925,   huge,0.012911677
926,   contain,0.012899548
927,   block,0.012891058
928,   popular,0.012856187
929,   specific,0.012855581
930,   apply,0.012853762
931,   peace,0.012817982
932,   tie,0.012794331
933,   institution,0.012781596
934,   respond,0.01277735
935,   associate,0.012773105
936,   Indian,0.012771892
937,   production,0.01275097
938,   weight,0.012710642
939,   sexual,0.012694268
940,   count,0.012687598
941,   politics,0.012661824
942,   perform,0.012634231
943,   somebody,0.012625741
944,   affect,0.012582381
945,   participant,0.012572071
946,   pain,0.012538111
947,   access,0.012532956
948,   direction,0.012516885
949,   please,0.012515066
950,   wide,0.012502634
951,   camera,0.012498086
952,   credit,0.012489292
953,   unit,0.012458364
954,   respect,0.012436835
955,   park,0.012423494
956,   edge,0.012419855
957,   object,0.01241652
958,   style,0.012398327
959,   evening,0.012395901
960,   finger,0.012384075
961,   target,0.012379224
962,   necessary,0.012364063
963,   adult,0.012342534
964,   exercise,0.012341018
965,   reflect,0.012337076
966,   conference,0.012323735
967,   comment,0.012323431
968,   commercial,0.012313122
969,   contact,0.012303722
970,   Mrs,0.012294019
971,   manage,0.01229129
972,   discover,0.012277039
973,   Christian,0.0122734
974,   trip,0.012257026
975,   wave,0.012253388
976,   pattern,0.012249143
977,   struggle,0.012245201
978,   survey,0.012231859
979,   item,0.012230646
980,   treat,0.012208815
981,   file,0.012203963
982,   improve,0.012193654
983,   mouth,0.012189409
984,   throughout,0.012180312
985,   purpose,0.012154235
986,   dance,0.012147564
987,   beautiful,0.012144532
988,   property,0.012136952
989,   bag,0.012130887
990,   skin,0.01209632
991,   bar,0.012084192
992,   ship,0.012083888
993,   fat,0.012028702
994,   writer,0.01202749
995,   hotel,0.012020212
996,   discussion,0.012012329
997,   tough,0.012007477
998,   soldier,0.011992923
999,   sea,0.011982007
1000,   owner,0.011974729
1001,   cancer,0.011948956
1002,   surface,0.011936827
1003,   exist,0.011928943
1004,   kitchen,0.011926214
1005,   positive,0.011919544
1006,   stare,0.011906202
1007,   painting,0.011905595
1008,   yard,0.01190226
1009,   task,0.011888918
1010,   magazine,0.01188528
1011,   budget,0.011875577
1012,   heavy,0.011874061
1013,   European,0.011868906
1014,   relate,0.011868906
1015,   English,0.011811598
1016,   worth,0.011802501
1017,   investment,0.011767934
1018,   garden,0.011764902
1019,   detail,0.011749741
1020,   document,0.011737915
1021,   sing,0.011696677
1022,   marriage,0.011679091
1023,   violence,0.011666052
1024,   except,0.011659078
1025,   collection,0.011653014
1026,   machine,0.011645737
1027,   reality,0.011642704
1028,   modern,0.011635124
1029,   cry,0.011624815
1030,   generation,0.011620266
1031,   supply,0.011619053
1032,   tend,0.011611776
1033,   agent,0.01160268
1034,   gas,0.011581151
1035,   agreement,0.01156508
1036,   consumer,0.011546281
1037,   attorney,0.011509895
1038,   whom,0.011507166
1039,   guard,0.011467141
1040,   civil,0.011444096
1041,   handle,0.011441973
1042,   scientist,0.011431361
1043,   function,0.011395278
1044,   partner,0.011382846
1045,   newspaper,0.011377388
1046,   shot,0.011372233
1047,   interesting,0.01136253
1048,   capital,0.011353433
1049,   French,0.011351008
1050,   western,0.01133706
1051,   separate,0.011314621
1052,   nor,0.011288848
1053,   battle,0.011288545
1054,   mark,0.01128248
1055,   dinner,0.01126641
1056,   shop,0.011248823
1057,   responsibility,0.011244578
1058,   link,0.011241242
1059,   threat,0.011225778
1060,   relation,0.011207888
1061,   victim,0.011182115
1062,   bottom,0.011165134
1063,   Senate,0.011161193
1064,   murder,0.011157554
1065,   majority,0.011145728
1066,   absolutely,0.01114027
1067,   paint,0.011131477
1068,   ring,0.011106916
1069,   warm,0.011089633
1070,   safe,0.011081749
1071,   suit,0.011080536
1072,   shift,0.011048395
1073,   secret,0.011046272
1074,   fit,0.011044756
1075,   prevent,0.011043544
1076,   citizen,0.011039602
1077,   straight,0.011038086
1078,   global,0.011031415
1079,   audience,0.010984719
1080,   Soviet,0.01097441
1081,   reform,0.01094712
1082,   slow,0.010927107
1083,   troop,0.010916191
1084,   customer,0.010915888
1085,   fresh,0.010908005
1086,   assume,0.01090376
1087,   concept,0.010898908
1088,   rich,0.010897695
1089,   fun,0.010890418
1090,   restaurant,0.01088496
1091,   effective,0.010870709
1092,   therefore,0.01086798
1093,   screen,0.010866464
1094,   examine,0.010863128
1095,   critical,0.010862522
1096,   species,0.010856457
1097,   cross,0.010834322
1098,   speed,0.010817645
1099,   crowd,0.010802181
1100,   speech,0.010765492
1101,   corner,0.010763066
1102,   successful,0.010751847
1103,   attitude,0.010745176
1104,   option,0.010744266
1105,   forest,0.01074275
1106,   tear,0.010732137
1107,   none,0.010721525
1108,   born,0.010719402
1109,   southern,0.01070788
1110,   pound,0.010695448
1111,   cool,0.010691203
1112,   video,0.01068241
1113,   mission,0.010678468
1114,   achieve,0.010663004
1115,   admit,0.010656029
1116,   sky,0.010655423
1117,   publish,0.010631469
1118,   income,0.010589928
1119,   bird,0.010562638
1120,   basic,0.010548387
1121,   researcher,0.010534439
1122,   conflict,0.010524736
1123,   neighborhood,0.010518974
1124,   suffer,0.010514123
1125,   trust,0.010507149
1126,   jump,0.010488956
1127,   cook,0.010488653
1128,   blow,0.010484711
1129,   African,0.010478343
1130,   eventually,0.010471369
1131,   opinion,0.010461363
1132,   version,0.010447718
1133,   AM,0.010446202
1134,   hurt,0.010444383
1135,   recall,0.010443473
1136,   labor,0.010430738
1137,   due,0.010428615
1138,   bear,0.010425886
1139,   scale,0.010423157
1140,   original,0.010421035
1141,   concerned,0.010409816
1142,   damage,0.010405874
1143,   refer,0.01040557
1144,   favorite,0.010398293
1145,   nobody,0.010394351
1146,   sorry,0.010391319
1147,   nuclear,0.0103895
1148,   variety,0.010382829
1149,   estimate,0.010367668
1150,   safety,0.010366455
1151,   freedom,0.01036221
1152,   directly,0.01033674
1153,   mass,0.010323398
1154,   client,0.010317637
1155,   define,0.010296715
1156,   spread,0.010294896
1157,   plane,0.010279128
1158,   primary,0.010268819
1159,   investigation,0.010263664
1160,   balance,0.010242439
1161,   okay,0.010231219
1162,   daily,0.010183311
1163,   status,0.010161176
1164,   dry,0.010153899
1165,   perfect,0.010144499
1166,   involved,0.010136009
1167,   slowly,0.010128428
1168,   argument,0.010125699
1169,   attend,0.010121454
1170,   encourage,0.010111751
1171,   complex,0.010104474
1172,   announce,0.010098713
1173,   weekend,0.0100787
1174,   afternoon,0.010067481
1175,   generally,0.010064146
1176,   powerful,0.010052017
